threshold,precision,recall,false_hit_rate,tp,fp,fn
0.85,0.2308,0.1304,0.2778,6,20,40
0.86,0.2000,0.1087,0.2778,5,20,41
0.87,0.1667,0.0652,0.2083,3,15,43
0.88,0.1765,0.0652,0.1944,3,14,43
0.89,0.1875,0.0652,0.1806,3,13,43
0.90,0.0909,0.0217,0.1389,1,10,45
0.91,0.0909,0.0217,0.1389,1,10,45
0.92,0.1000,0.0217,0.1250,1,9,45
0.93,0.1111,0.0217,0.1111,1,8,45
0.94,0.1111,0.0217,0.1111,1,8,45
0.95,0.0000,0.0000,0.0833,0,6,46
0.96,0.0000,0.0000,0.0833,0,6,46
0.97,0.0000,0.0000,0.0556,0,4,46
0.98,0.0000,0.0000,0.0417,0,3,46
0.99,0.0000,0.0000,0.0278,0,2,46
